id,experiment,group,frequency,time_index,avg_v2abs_magnetic,std_v2abs_magnetic,n,avg_time,cv_v2abs_magnetic,delta_avg_v2abs_magnetic,delta_std_v2abs_magnetic
EX1A,Exp1-on-off-field-summary,Cal0,2,1,0.002072384825766284,0.0001582657471152153,2,0.05415886839230855,7.636889883938186,-0.0015067686629386904,0.00021407287627488736
EX1A,Exp1-on-off-field-summary,Cal0,2,2,0.002640303318165738,0.0001590652594410529,2,0.2558620055516561,6.024507046090378,-0.0009388501705392361,0.00021466463706841754
EX1A,Exp1-on-off-field-summary,Cal0,2,3,0.002839588232074597,0.0001627970401922353,2,0.4570953150590261,5.73312138546567,-0.0007395652566303773,0.0002174443053796034
EX1A,Exp1-on-off-field-summary,Cal0,2,4,0.002978475447373101,0.0001534436530416495,2,0.6592028141021729,5.151751483363101,-0.0006006780413318731,0.00021053290551700479
EX1A,Exp1-on-off-field-summary,Cal0,2,5,0.003081422046593999,0.000156224740585424,2,0.8604770680268605,5.069891051052373,-0.0004977314421109754,0.00021256838715493179
EX1A,Exp1-on-off-field-summary,Cal0,2,6,0.003173567697797492,0.0001524760701432966,2,1.061835104227066,4.804563338891982,-0.0004055857909074823,0.00020982874353388635
EX1A,Exp1-on-off-field-summary,Cal0,2,7,0.003249441060203738,0.0001584492886704853,2,1.263189093271891,4.87620134462604,-0.00032971242850123646,0.00021420860563210043
EX1A,Exp1-on-off-field-summary,Cal0,2,8,0.003315065447711569,0.0001523627340068559,2,1.464384309450785,4.596070165433198,-0.0002640880409934053,0.00020974640011382764
EX1A,Exp1-on-off-field-summary,Cal0,2,9,0.003381342691438031,0.0001537582832643477,2,1.665668688217799,4.547255256134858,-0.00019781079726694352,0.00021076232898472472
EX1A,Exp1-on-off-field-summary,Cal0,2,10,0.003433344526931194,0.0001453736323794141,2,1.867071056365967,4.234169662820076,-0.00014580896177378028,0.0002047257742392271
EX1A,Exp1-on-off-field-summary,Cal0,2,11,0.00349097108239962,0.0001470426272734997,2,2.068730519215266,4.212083795676294,-8.81824063053544e-05,0.00020591426342572608
EX1A,Exp1-on-off-field-summary,Cal0,2,12,0.003536760814927019,0.0001479710720566521,2,2.270035515228908,4.183802066346561,-4.239267377795534e-05,0.00020657828494849325
EX1A,Exp1-on-off-field-summary,Cal0,2,13,0.003586869560500114,0.0001473598894524557,2,2.471833129723867,4.108314700797468,7.716071795139771e-06,0.0002061409388406532
EX1A,Exp1-on-off-field-summary,Cal0,2,14,0.003628719186133788,0.0001400727986888089,2,2.673041089375814,3.860116793387068,4.95656974288136e-05,0.00020099636459195358
EX1A,Exp1-on-off-field-summary,Cal0,2,15,0.00367250948336728,0.000141954174265418,2,2.874550102154414,3.865318113086585,9.335599466230547e-05,0.00020231197996669058
EX1A,Exp1-on-off-field-summary,Cal0,2,16,0.003715010282070827,0.0001417041340035252,2,3.075618783632914,3.814367208817961,0.00013585679336585279,0.0002021366152886581
EX1A,Exp1-on-off-field-summary,Cal0,2,17,0.003752640998663059,0.0001415752996429381,2,3.276837321122487,3.772684349325626,0.00017348750995808482,0.00020204631923312452
EX1A,Exp1-on-off-field-summary,Cal0,2,18,0.003792775162497052,0.0001420341494997443,2,3.478207355737687,3.744860779098574,0.00021362167379207746,0.0002023681033927572
EX1A,Exp1-on-off-field-summary,Cal0,2,19,0.003827677497974909,0.0001439216378146281,2,3.679589132467905,3.760025182131253,0.0002485240092699346,0.0002036972937422364
EX1A,Exp1-on-off-field-summary,Cal0,2,20,0.003863243121181999,0.0001398770838272051,2,3.881609847148259,3.620716569978859,0.0002840896324770247,0.0002008600214743315
